Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
AT3G48960,AT3G48960.1,A0A178V6A2,
AT4G39700,AT4G39700.1,A0A178V6A4,
AT4G15075,AT4G15075.1,A0A178V6A5,
AT3G47430,AT3G47430.1,A0A178V6A6,
AT3G52610,AT3G52610.1,A0A178V6A7,
AT4G31550,AT4G31550.2,A0A178V6A8,R-ATH-6788019
AT3G59960,AT3G59960.1,A0A178V6A9,
AT3G51160,AT3G51160.1,A0A178V6B0,R-ATH-1119428
AT3G51160,AT3G51160.1,A0A178V6B0,R-ATH-1119620
AT4G28570,AT4G28570.2,A0A178V6B1,
AT3G50590,AT3G50590.2,A0A178V6B2,
AT4G22666,AT4G22666.1,A0A178V6B3,
AT4G09120,AT4G09120.1,A0A178V6B4,
AT3G22520,AT3G22520.1,A0A178V6B5,
AT3G63520,AT3G63520.1,A0A178V6B6,R-ATH-9609352
AT3G22810,AT3G22810.2,A0A178V6B7,
AT4G24130,AT4G24130.1,A0A178V6B8,
AT3G62900,AT3G62900.3,A0A178V6B9,
AT4G31940,AT4G31940.1,A0A178V6C0,
AT3G22810,AT3G22810.3,A0A178V6C1,
AT3G26070,AT3G26070.1,A0A178V6C2,
AT3G22410,AT3G22410.1,A0A178V6C4,
AT3G61470,AT3G61470.1,A0A178V6C5,
AT3G21760,AT3G21760.1,A0A178V6C8,
AT3G54380,AT3G54380.1,A0A178V6C9,
AT4G01830,AT4G01830.1,A0A178V6D0,
AT4G00350,AT4G00350.1,A0A178V6D1,
AT3G48690,AT3G48690.1,A0A178V6D2,
AT3G58140,AT3G58140.1,A0A178V6D3,
AT3G45060,AT3G45060.1,A0A178V6D4,
AT4G32960,AT4G32960.1,A0A178V6D5,
AT3G15870,AT3G15870.1,A0A178V6D6,
AT3G21710,AT3G21710.1,A0A178V6D7,
AT4G15490,AT4G15490.1,A0A178V6D8,
AT4G31985,AT4G31985.1,A0A178V6D9,
AT4G31980,AT4G31980.1,A0A178V6D9,
AT3G13990,AT3G13990.1,A0A178V6E0,
AT3G27000,AT3G27000.1,A0A178V6E1,
AT3G25120,AT3G25120.1,A0A178V6E2,
AT3G48790,AT3G48790.2,A0A178V6E3,R-ATH-1119325
AT3G48790,AT3G48790.2,A0A178V6E3,R-ATH-1119610
AT4G27595,AT4G27595.1,A0A178V6E4,
AT3G02650,AT3G02650.1,A0A178V6E5,
AT4G14400,AT4G14400.1,A0A178V6E6,
AT4G25010,AT4G25010.1,A0A178V6E7,
AT3G18650,AT3G18650.1,A0A178V6E8,
AT3G18080,AT3G18080.1,A0A178V6F0,R-ATH-1119284
AT3G27660,AT3G27660.2,A0A178V6F1,
AT3G27660,AT3G27660.1,A0A178V6F1,
AT3G05710,AT3G05710.2,A0A178V6F2,
AT4G36910,AT4G36910.1,A0A178V6F3,
AT4G14250,AT4G14250.1,A0A178V6F4,
AT4G11670,AT4G11670.2,A0A178V6F5,
AT3G15990,AT3G15990.1,A0A178V6F6,
AT3G01740,AT3G01740.1,A0A178V6F7,
AT3G10200,AT3G10200.1,A0A178V6F8,
AT3G04550,AT3G04550.1,A0A178V6F9,
AT4G23010,AT4G23010.1,A0A178V6G0,
AT3G10280,AT3G10280.1,A0A178V6G2,
AT3G53830,AT3G53830.1,A0A178V6G3,
AT4G20740,AT4G20740.1,A0A178V6G4,
AT3G16895,AT3G16895.1,A0A178V6G5,
AT3G47350,AT3G47350.3,A0A178V6G6,
AT4G30350,AT4G30350.1,A0A178V6G7,
AT3G52115,AT3G52115.1,A0A178V6G8,
AT3G01450,AT3G01450.1,A0A178V6G9,
AT4G18060,AT4G18060.1,A0A178V6H0,
AT4G28405,AT4G28405.1,A0A178V6H2,
AT3G18980,AT3G18980.1,A0A178V6H3,
AT3G48010,AT3G48010.1,A0A178V6H4,
AT3G24460,AT3G24460.2,A0A178V6H5,
AT3G01040,AT3G01040.3,A0A178V6H6,
AT4G08730,AT4G08730.1,A0A178V6H7,
AT4G13000,AT4G13000.1,A0A178V6H8,
AT3G19740,AT3G19740.1,A0A178V6H9,
AT3G12340,AT3G12340.3,A0A178V6I0,
AT4G35010,AT4G35010.1,A0A178V6I1,
AT3G28956,AT3G28956.2,A0A178V6I2,
AT3G45260,AT3G45260.2,A0A178V6I4,
AT4G21760,AT4G21760.2,A0A178V6I5,
AT4G00165,AT4G00165.1,A0A178V6I7,
AT3G25580,AT3G25580.1,A0A178V6I8,
AT3G23280,AT3G23280.1,A0A178V6I9,
AT4G38150,AT4G38150.3,A0A178V6J0,
AT3G05345,AT3G05345.1,A0A178V6J1,
AT4G16070,AT4G16070.2,A0A178V6J3,
AT3G61880,AT3G61880.1,A0A178V6J4,
AT3G23280,AT3G23280.2,A0A178V6J5,
AT4G09020,AT4G09020.1,A0A178V6J6,
AT3G54770,AT3G54770.1,A0A178V6J7,
AT3G60980,AT3G60980.1,A0A178V6J9,
AT3G46220,AT3G46220.2,A0A178V6K0,
AT3G47350,AT3G47350.3,A0A178V6K1,
AT3G60070,AT3G60070.3,A0A178V6K2,
AT4G04460,AT4G04460.1,A0A178V6K3,
AT4G12230,AT4G12230.1,A0A178V6K5,
AT4G29940,AT4G29940.1,A0A178V6K6,
AT3G57210,AT3G57210.1,A0A178V6K7,
AT1G65850,AT1G65850.1,A0A178V6K9,
AT1G49230,AT1G49230.1,A0A178V6L0,
AT3G44100,AT3G44100.1,A0A178V6L1,
AT3G11090,AT3G11090.1,A0A178V6L2,
AT3G46770,AT3G46770.1,A0A178V6L4,
AT3G55450,AT3G55450.1,A0A178V6L5,R-ATH-9611432
AT4G28397,AT4G28397.1,A0A178V6L6,
AT4G09080,AT4G09080.1,A0A178V6L8,
AT3G05700,AT3G05700.1,A0A178V6L9,
AT3G11990,AT3G11990.1,A0A178V6M0,
AT3G12160,AT3G12160.1,A0A178V6M2,
AT4G11670,AT4G11670.2,A0A178V6M3,
AT3G03620,AT3G03620.2,A0A178V6M5,
AT3G14610,AT3G14610.1,A0A178V6M6,
AT4G23882,AT4G23882.1,A0A178V6M7,
AT4G29400,AT4G29400.1,A0A178V6M8,
AT3G11220,AT3G11220.1,A0A178V6M9,
AT3G12977,AT3G12977.2,A0A178V6N0,
AT5G27606,AT5G27606.1,A0A178V6N1,
AT3G14720,AT3G14720.1,A0A178V6N2,
AT3G24180,AT3G24180.1,A0A178V6N3,
AT4G17840,AT4G17840.1,A0A178V6N4,
AT4G32295,AT4G32295.1,A0A178V6N5,
AT3G50290,AT3G50290.1,A0A178V6N6,
AT3G57780,AT3G57780.3,A0A178V6N7,
AT4G38380,AT4G38380.2,A0A178V6N8,
AT3G53410,AT3G53410.1,A0A178V6N9,
AT3G60960,AT3G60960.2,A0A178V6P2,
AT3G60960,AT3G60960.3,A0A178V6P2,
AT3G60960,AT3G60960.1,A0A178V6P2,
AT3G59890,AT3G59890.1,A0A178V6P3,R-ATH-1119273
AT3G59890,AT3G59890.1,A0A178V6P3,R-ATH-1119283
AT3G59890,AT3G59890.1,A0A178V6P3,R-ATH-1119419
AT3G55140,AT3G55140.1,A0A178V6P4,
AT3G55020,AT3G55020.1,A0A178V6P5,
AT3G47960,AT3G47960.1,A0A178V6P7,
AT4G19865,AT4G19865.1,A0A178V6P8,
AT3G20650,AT3G20650.1,A0A178V6P9,
AT4G30830,AT4G30830.2,A0A178V6Q0,
AT3G27850,AT3G27850.1,A0A178V6Q1,
AT3G59210,AT3G59210.2,A0A178V6Q3,
AT4G31480,AT4G31480.8,A0A178V6Q4,
AT4G34660,AT4G34660.1,A0A178V6Q6,
AT4G14530,AT4G14530.1,A0A178V6Q7,
AT3G56720,AT3G56720.3,A0A178V6Q8,
AT3G47295,AT3G47295.1,A0A178V6R0,
AT3G21970,AT3G21970.1,A0A178V6R1,
AT4G04840,AT4G04840.1,A0A178V6R2,
AT3G04200,AT3G04200.1,A0A178V6R3,
AT3G55780,AT3G55780.1,A0A178V6R4,
AT4G11485,AT4G11485.1,A0A178V6R5,
AT3G47730,AT3G47730.1,A0A178V6R6,
AT3G53020,AT3G53020.1,A0A178V6R7,
AT4G09580,AT4G09580.1,A0A178V6R8,
AT3G60820,AT3G60820.3,A0A178V6R9,
AT3G60820,AT3G60820.1,A0A178V6R9,
AT3G54660,AT3G54660.1,A0A178V6S0,R-ATH-1119437
AT3G54660,AT3G54660.1,A0A178V6S0,R-ATH-1119298
AT3G19680,AT3G19680.1,A0A178V6S1,
AT3G60470,AT3G60470.1,A0A178V6S4,
AT3G13800,AT3G13800.4,A0A178V6S5,
AT3G51780,AT3G51780.1,A0A178V6S6,
AT3G23470,AT3G23470.1,A0A178V6S8,
AT3G26550,AT3G26550.1,A0A178V6S9,
AT3G12130,AT3G12130.1,A0A178V6T0,
AT4G17483,AT4G17483.1,A0A178V6T1,
AT3G29670,AT3G29670.1,A0A178V6T2,
AT3G44620,AT3G44620.1,A0A178V6T3,
AT3G10600,AT3G10600.1,A0A178V6T4,
AT4G02425,AT4G02425.1,A0A178V6T6,
AT4G21190,AT4G21190.1,A0A178V6T7,
AT3G48310,AT3G48310.1,A0A178V6T8,
AT4G09080,AT4G09080.3,A0A178V6T9,
AT3G09130,AT3G09130.1,A0A178V6U0,
AT3G22060,AT3G22060.1,A0A178V6U1,
AT3G03000,AT3G03000.1,A0A178V6U2,
AT4G19275,AT4G19275.1,A0A178V6U3,
AT4G00730,AT4G00730.1,A0A178V6U4,
AT3G13680,AT3G13680.1,A0A178V6U5,
AT3G25990,AT3G25990.1,A0A178V6U6,
AT3G45740,AT3G45740.1,A0A178V6U7,
AT3G05330,AT3G05330.1,A0A178V6U8,
AT3G05330,AT3G05330.1,A0A178V6U9,
AT3G07525,AT3G07525.1,A0A178V6V0,
AT4G20390,AT4G20390.1,A0A178V6V1,
AT3G03800,AT3G03800.2,A0A178V6V2,
AT4G01390,AT4G01390.1,A0A178V6V3,
AT3G05685,AT3G05685.1,A0A178V6V4,
AT4G33530,AT4G33530.1,A0A178V6V5,
AT3G51340,AT3G51340.3,A0A178V6V6,
AT3G46230,AT3G46230.1,A0A178V6V7,
AT4G32295,AT4G32295.2,A0A178V6V8,
AT3G16030,AT3G16030.2,A0A178V6V9,
AT3G59330,AT3G59330.2,A0A178V6W0,
AT3G59340,AT3G59340.3,A0A178V6W0,
AT3G59310,AT3G59310.1,A0A178V6W0,
AT3G28410,AT3G28410.1,A0A178V6W2,
AT5G02910,AT5G02910.2,A0A178V6W2,
AT4G10050,AT4G10050.1,A0A178V6W4,
AT4G33985,AT4G33985.1,A0A178V6W5,
AT4G13720,AT4G13720.1,A0A178V6W6,
AT3G29638,AT3G29638.1,A0A178V6W7,
AT3G05540,AT3G05540.1,A0A178V6W9,
AT3G17500,AT3G17500.1,A0A178V6X0,
AT4G28920,AT4G28920.1,A0A178V6X1,
AT3G07060,AT3G07060.1,A0A178V6X2,
AT3G21640,AT3G21640.1,A0A178V6X3,
AT4G11910,AT4G11910.1,A0A178V6X4,
AT4G25490,AT4G25490.1,A0A178V6X5,
AT3G13120,AT3G13120.1,A0A178V6X6,
AT3G13120,AT3G13120.2,A0A178V6X6,
AT3G13120,AT3G13120.3,A0A178V6X6,
AT3G63180,AT3G63180.2,A0A178V6X7,
AT3G46950,AT3G46950.1,A0A178V6X8,
AT3G01870,AT3G01870.1,A0A178V6X9,
AT4G37500,AT4G37500.1,A0A178V6Y0,
AT4G32570,AT4G32570.1,A0A178V6Y1,
AT3G06340,AT3G06340.1,A0A178V6Y4,
AT3G08620,AT3G08620.1,A0A178V6Y5,
AT3G54830,AT3G54830.2,A0A178V6Y6,
AT4G10380,AT4G10380.1,A0A178V6Y7,
AT3G49800,AT3G49800.1,A0A178V6Y8,
AT3G13682,AT3G13682.1,A0A178V6Y9,
AT4G30780,AT4G30780.1,A0A178V6Z0,
AT4G30910,AT4G30910.1,A0A178V6Z1,
AT3G57060,AT3G57060.1,A0A178V6Z2,
AT3G57050,AT3G57050.1,A0A178V6Z2,R-ATH-1119400
AT4G24310,AT4G24310.1,A0A178V6Z4,
AT3G62040,AT3G62040.1,A0A178V6Z6,
AT3G51890,AT3G51890.1,A0A178V6Z7,
AT3G23900,AT3G23900.4,A0A178V6Z8,
AT4G02720,AT4G02720.1,A0A178V6Z9,
AT4G32720,AT4G32720.1,A0A178V700,
AT4G33240,AT4G33240.2,A0A178V701,
AT3G60620,AT3G60620.1,A0A178V702,
AT3G15170,AT3G15170.1,A0A178V703,
AT3G21150,AT3G21150.1,A0A178V704,
AT2G26790,AT2G26790.1,A0A178V705,
AT3G59590,AT3G59590.1,A0A178V706,
AT3G13920,AT3G13920.1,A0A178V707,
AT4G00550,AT4G00550.2,A0A178V709,
AT4G00550,AT4G00550.1,A0A178V709,
AT3G21960,AT3G21960.1,A0A178V711,
AT4G26010,AT4G26010.1,A0A178V714,
AT3G59270,AT3G59270.1,A0A178V715,
AT3G47620,AT3G47620.1,A0A178V716,
AT4G02370,AT4G02370.1,A0A178V718,
AT4G36700,AT4G36700.1,A0A178V719,
AT3G27290,AT3G27290.1,A0A178V720,
AT3G08800,AT3G08800.1,A0A178V721,
AT3G50280,AT3G50280.1,A0A178V722,
AT3G19020,AT3G19020.1,A0A178V723,
AT3G51950,AT3G51950.3,A0A178V724,
AT4G10070,AT4G10070.1,A0A178V725,
AT5G21170,AT5G21170.1,A0A178V726,
AT3G48210,AT3G48210.1,A0A178V727,
AT4G10600,AT4G10600.1,A0A178V728,
AT3G50700,AT3G50700.1,A0A178V729,
AT3G61120,AT3G61120.1,A0A178V730,
AT3G56890,AT3G56890.1,A0A178V731,
AT3G18190,AT3G18190.1,A0A178V732,
AT4G14190,AT4G14190.1,A0A178V733,
AT4G38770,AT4G38770.1,A0A178V734,
AT3G30842,AT3G30842.1,A0A178V735,
AT3G21650,AT3G21650.2,A0A178V736,R-ATH-5632095
AT3G21650,AT3G21650.1,A0A178V736,R-ATH-5632095
AT3G50930,AT3G50930.1,A0A178V737,
AT4G14605,AT4G14605.1,A0A178V738,
AT3G04890,AT3G04890.2,A0A178V739,
AT3G06650,AT3G06650.2,A0A178V742,
AT3G06650,AT3G06650.1,A0A178V742,
AT3G07130,AT3G07130.1,A0A178V743,
AT4G18680,AT4G18680.1,A0A178V745,
AT3G27550,AT3G27550.2,A0A178V746,
AT3G55630,AT3G55630.3,A0A178V748,R-ATH-1119523
AT3G55630,AT3G55630.3,A0A178V748,R-ATH-1119617
AT3G55630,AT3G55630.3,A0A178V748,R-ATH-1119484
AT3G27070,AT3G27070.1,A0A178V749,
AT4G28706,AT4G28706.1,A0A178V750,
AT4G02510,AT4G02510.4,A0A178V752,
AT3G21465,AT3G21465.1,A0A178V754,
AT3G61150,AT3G61150.1,A0A178V755,
AT3G20840,AT3G20840.1,A0A178V756,
AT3G49590,AT3G49590.1,A0A178V757,
AT3G45330,AT3G45330.1,A0A178V759,
AT4G33480,AT4G33480.1,A0A178V760,
AT4G35520,AT4G35520.2,A0A178V761,
AT3G02242,AT3G02242.1,A0A178V762,
AT3G02242,AT3G02242.1,A0A178V763,
AT3G55970,AT3G55970.1,A0A178V764,
AT3G26910,AT3G26910.2,A0A178V765,
AT3G10120,AT3G10120.1,A0A178V766,
AT3G20730,AT3G20730.1,A0A178V767,
AT3G62900,AT3G62900.3,A0A178V768,
AT4G15440,AT4G15440.1,A0A178V769,
AT4G40020,AT4G40020.1,A0A178V771,
AT3G10730,AT3G10730.1,A0A178V772,
AT3G49650,AT3G49650.1,A0A178V773,
AT3G58100,AT3G58100.1,A0A178V774,
AT3G01540,AT3G01540.3,A0A178V775,
AT3G58220,AT3G58220.2,A0A178V776,
AT4G39270,AT4G39270.4,A0A178V777,
AT3G10610,AT3G10610.1,A0A178V778,
AT3G21360,AT3G21360.1,A0A178V779,
AT4G30720,AT4G30720.1,A0A178V780,
AT3G57140,AT3G57140.2,A0A178V781,
AT3G42660,AT3G42660.1,A0A178V782,
AT3G03660,AT3G03660.2,A0A178V783,
AT4G17040,AT4G17040.1,A0A178V785,
AT3G26350,AT3G26350.1,A0A178V786,
AT3G17830,AT3G17830.1,A0A178V787,
AT3G42050,AT3G42050.1,A0A178V788,
AT3G09900,AT3G09900.1,A0A178V789,
AT3G53770,AT3G53770.1,A0A178V790,
AT3G47810,AT3G47810.3,A0A178V791,
AT3G47810,AT3G47810.1,A0A178V791,
AT3G47810,AT3G47810.2,A0A178V791,
AT4G20300,AT4G20300.1,A0A178V792,
AT3G49340,AT3G49340.1,A0A178V793,
AT4G20800,AT4G20800.1,A0A178V794,
AT3G05930,AT3G05930.1,A0A178V795,
AT3G10870,AT3G10870.1,A0A178V796,
AT3G55230,AT3G55230.1,A0A178V797,
AT3G27670,AT3G27670.1,A0A178V799,
AT3G45870,AT3G45870.1,A0A178V7A0,
AT2G04062,AT2G04062.1,A0A178V7A1,
AT3G30300,AT3G30300.2,A0A178V7A2,
AT3G48990,AT3G48990.1,A0A178V7A3,
AT4G34050,AT4G34050.1,A0A178V7A4,
AT3G61830,AT3G61830.1,A0A178V7A7,R-ATH-5608118
AT4G15640,AT4G15640.1,A0A178V7A8,
AT3G24020,AT3G24020.1,A0A178V7A9,
AT3G49520,AT3G49520.1,A0A178V7B0,
AT3G44630,AT3G44630.1,A0A178V7B1,
AT3G63170,AT3G63170.1,A0A178V7B2,
AT4G35520,AT4G35520.3,A0A178V7B3,
AT3G20940,AT3G20940.1,A0A178V7B4,
AT3G11010,AT3G11010.2,A0A178V7B5,
AT3G49840,AT3G49840.1,A0A178V7B7,
AT4G31780,AT4G31780.2,A0A178V7B8,
AT3G55600,AT3G55600.2,A0A178V7C0,
AT3G55590,AT3G55590.1,A0A178V7C0,R-ATH-1119410
AT3G63052,AT3G63052.1,A0A178V7C2,
AT4G02560,AT4G02560.2,A0A178V7C4,
AT3G28830,AT3G28830.1,A0A178V7C6,
AT3G63420,AT3G63420.3,A0A178V7C7,
AT4G15330,AT4G15330.1,A0A178V7C8,
AT3G19820,AT3G19820.3,A0A178V7D0,
AT3G19820,AT3G19820.1,A0A178V7D0,
AT3G19820,AT3G19820.2,A0A178V7D0,
AT3G58070,AT3G58070.1,A0A178V7D1,
AT3G62270,AT3G62270.1,A0A178V7D2,
AT4G24560,AT4G24560.1,A0A178V7D3,
AT3G58350,AT3G58350.2,A0A178V7D4,
AT3G58360,AT3G58360.1,A0A178V7D4,
AT3G05880,AT3G05880.1,A0A178V7D5,
AT4G39180,AT4G39180.2,A0A178V7D6,
AT3G27860,AT3G27860.1,A0A178V7D7,
AT3G05230,AT3G05230.1,A0A178V7D8,
AT1G65850,AT1G65850.1,A0A178V7D9,
AT3G49160,AT3G49160.1,A0A178V7E0,
AT4G23340,AT4G23340.1,A0A178V7E1,
AT3G47070,AT3G47070.1,A0A178V7E2,
AT3G06100,AT3G06100.1,A0A178V7E3,
AT3G18010,AT3G18010.1,A0A178V7E4,
AT3G03370,AT3G03370.2,A0A178V7E6,
AT3G09080,AT3G09080.3,A0A178V7E7,
AT4G26140,AT4G26140.4,A0A178V7E8,
AT3G18360,AT3G18360.1,A0A178V7F0,
AT3G09030,AT3G09030.1,A0A178V7F1,
AT3G26180,AT3G26180.2,A0A178V7F3,
AT3G57560,AT3G57560.1,A0A178V7F4,R-ATH-1119263
AT3G57560,AT3G57560.1,A0A178V7F4,R-ATH-1119539
AT3G57560,AT3G57560.1,A0A178V7F4,R-ATH-1119622
AT3G09720,AT3G09720.1,A0A178V7F5,
AT4G13300,AT4G13300.1,A0A178V7F6,
AT3G53120,AT3G53120.1,A0A178V7F7,
AT3G53380,AT3G53380.1,A0A178V7F8,
AT3G07160,AT3G07160.2,A0A178V7F9,
AT3G07160,AT3G07160.3,A0A178V7F9,
AT3G49290,AT3G49290.1,A0A178V7G1,
AT3G30350,AT3G30350.2,A0A178V7G2,
AT4G29030,AT4G29030.1,A0A178V7G3,
AT3G29760,AT3G29760.3,A0A178V7G5,
AT3G54320,AT3G54320.5,A0A178V7G6,
AT3G29635,AT3G29635.1,A0A178V7G7,
AT3G16910,AT3G16910.1,A0A178V7G8,
AT3G55320,AT3G55320.1,A0A178V7G9,
AT4G14905,AT4G14905.1,A0A178V7H0,
AT3G50920,AT3G50920.1,A0A178V7H1,
AT3G12800,AT3G12800.1,A0A178V7H2,
AT3G53920,AT3G53920.2,A0A178V7H3,
AT3G29780,AT3G29780.1,A0A178V7H4,
AT3G52840,AT3G52840.2,A0A178V7H5,
AT3G14870,AT3G14870.1,A0A178V7H7,
AT4G12080,AT4G12080.1,A0A178V7H8,
AT3G28900,AT3G28900.1,A0A178V7H9,
AT5G24280,AT5G24280.2,A0A178V7I0,
AT3G23650,AT3G23650.1,A0A178V7I1,
AT3G19780,AT3G19780.2,A0A178V7I2,
AT3G19470,AT3G19470.1,A0A178V7I4,
AT3G60120,AT3G60120.1,A0A178V7I5,
AT3G23030,AT3G23030.1,A0A178V7I6,
AT4G10850,AT4G10850.1,A0A178V7I7,
AT4G30050,AT4G30050.1,A0A178V7I9,
AT3G56780,AT3G56780.2,A0A178V7J0,
AT3G07660,AT3G07660.1,A0A178V7J2,
AT3G16260,AT3G16260.1,A0A178V7J3,
AT3G22300,AT3G22300.1,A0A178V7J4,
AT3G51840,AT3G51840.1,A0A178V7J5,R-ATH-1119445
AT4G21550,AT4G21550.3,A0A178V7J6,
AT3G28960,AT3G28960.2,A0A178V7J7,
AT3G45680,AT3G45680.1,A0A178V7J8,
AT4G21550,AT4G21550.3,A0A178V7J9,
AT3G27330,AT3G27330.1,A0A178V7K0,
AT3G29230,AT3G29230.1,A0A178V7K1,
AT3G47590,AT3G47590.1,A0A178V7K2,
AT3G15010,AT3G15010.2,A0A178V7K4,
AT3G15010,AT3G15010.1,A0A178V7K4,
AT2G45550,AT2G45550.1,A0A178V7K5,
AT3G61040,AT3G61040.1,A0A178V7K5,
AT2G45540,AT2G45540.5,A0A178V7K5,
AT5G34581,AT5G34581.1,A0A178V7K6,
AT4G04265,AT4G04265.1,A0A178V7K6,
AT3G50810,AT3G50810.2,A0A178V7K7,
AT3G58710,AT3G58710.1,A0A178V7K8,R-ATH-6788019
AT3G12170,AT3G12170.1,A0A178V7K9,
AT3G60730,AT3G60730.1,A0A178V7L0,
AT3G18410,AT3G18410.2,A0A178V7L1,
AT3G18410,AT3G18410.1,A0A178V7L1,
AT3G54090,AT3G54090.1,A0A178V7L2,
AT4G37180,AT4G37180.3,A0A178V7L3,
AT3G14190,AT3G14190.2,A0A178V7L5,
AT3G13000,AT3G13000.2,A0A178V7L6,
AT3G23250,AT3G23250.1,A0A178V7L7,R-ATH-8879007
AT3G48140,AT3G48140.1,A0A178V7L9,
AT3G01290,AT3G01290.1,A0A178V7M0,
AT3G02410,AT3G02410.1,A0A178V7M1,
AT4G11820,AT4G11820.2,A0A178V7M2,R-ATH-1119615
AT3G46770,AT3G46770.1,A0A178V7M3,
AT3G19780,AT3G19780.1,A0A178V7M5,
AT2G44630,AT2G44630.1,A0A178V7M6,
AT3G07250,AT3G07250.1,A0A178V7M6,
AT3G53500,AT3G53500.2,A0A178V7M8,
AT4G14145,AT4G14145.1,A0A178V7N0,
AT3G50470,AT3G50470.1,A0A178V7N2,
AT3G21540,AT3G21540.1,A0A178V7N4,
AT3G06290,AT3G06290.2,A0A178V7N5,
AT3G59390,AT3G59390.2,A0A178V7N6,
AT3G54870,AT3G54870.2,A0A178V7N7,
AT4G31010,AT4G31010.1,A0A178V7N8,
AT3G19080,AT3G19080.3,A0A178V7N9,
AT3G19080,AT3G19080.4,A0A178V7N9,
AT3G46080,AT3G46080.1,A0A178V7P0,
AT3G47590,AT3G47590.1,A0A178V7P1,
AT3G02610,AT3G02610.2,A0A178V7P2,
AT3G58310,AT3G58310.1,A0A178V7P3,
AT4G21910,AT4G21910.4,A0A178V7P5,
AT3G28920,AT3G28920.1,A0A178V7P6,
AT3G26640,AT3G26640.1,A0A178V7P7,
AT3G48640,AT3G48640.3,A0A178V7P9,
AT4G27530,AT4G27530.1,A0A178V7Q0,
AT3G44900,AT3G44900.1,A0A178V7Q1,
AT3G60590,AT3G60590.3,A0A178V7Q2,
AT3G22860,AT3G22860.1,A0A178V7Q3,
AT3G23710,AT3G23710.1,A0A178V7Q4,
AT3G47120,AT3G47120.1,A0A178V7Q5,
AT4G02733,AT4G02733.1,A0A178V7Q6,
AT3G17465,AT3G17465.1,A0A178V7Q7,
AT3G24230,AT3G24230.1,A0A178V7Q8,
AT3G53020,AT3G53020.1,A0A178V7Q9,
AT4G37180,AT4G37180.1,A0A178V7R0,
AT3G12545,AT3G12545.1,A0A178V7R2,
AT4G03410,AT4G03410.2,A0A178V7R3,
AT3G15390,AT3G15390.1,A0A178V7R4,
AT3G21900,AT3G21900.1,A0A178V7R5,
AT3G48860,AT3G48860.2,A0A178V7R6,
AT3G53500,AT3G53500.3,A0A178V7R7,
AT3G53500,AT3G53500.1,A0A178V7R7,
AT3G16780,AT3G16780.1,A0A178V7S1,
AT4G12010,AT4G12010.1,A0A178V7S3,
AT3G16580,AT3G16580.1,A0A178V7S4,
AT3G25545,AT3G25545.1,A0A178V7S5,
AT3G06290,AT3G06290.3,A0A178V7S6,
AT4G39620,AT4G39620.2,A0A178V7S9,
AT3G27080,AT3G27080.1,A0A178V7T0,
AT3G13690,AT3G13690.1,A0A178V7T1,
AT3G51450,AT3G51450.1,A0A178V7T5,R-ATH-1119438
AT3G20580,AT3G20580.1,A0A178V7T6,
AT1G56350,AT1G56350.1,A0A178V7T7,
AT4G23030,AT4G23030.1,A0A178V7T8,
AT3G17890,AT3G17890.3,A0A178V7T9,
AT3G07490,AT3G07490.1,A0A178V7U1,
AT3G57650,AT3G57650.1,A0A178V7U2,R-ATH-1119402
AT3G57660,AT3G57660.2,A0A178V7U2,
AT4G34790,AT4G34790.1,A0A178V7U4,
AT3G54290,AT3G54290.1,A0A178V7U5,
AT3G13990,AT3G13990.1,A0A178V7U6,
AT3G27660,AT3G27660.1,A0A178V7U7,
AT3G01330,AT3G01330.1,A0A178V7U8,
AT3G61580,AT3G61580.1,A0A178V7U9,
AT3G26510,AT3G26510.3,A0A178V7V0,
AT3G49610,AT3G49610.1,A0A178V7V1,
AT4G16155,AT4G16155.1,A0A178V7V2,
AT4G17980,AT4G17980.2,A0A178V7V6,
AT3G04020,AT3G04020.1,A0A178V7V8,
AT4G12800,AT4G12800.1,A0A178V7V9,
AT3G58570,AT3G58570.1,A0A178V7W0,
AT3G56060,AT3G56060.1,A0A178V7W1,
AT3G49725,AT3G49725.1,A0A178V7W2,
AT3G20060,AT3G20060.1,A0A178V7W3,
AT3G49050,AT3G49050.1,A0A178V7W4,
AT3G59910,AT3G59910.2,A0A178V7W5,
AT3G60245,AT3G60245.1,A0A178V7W6,
AT4G15030,AT4G15030.1,A0A178V7W7,
AT4G35880,AT4G35880.1,A0A178V7W8,
AT3G54620,AT3G54620.1,A0A178V7W9,
AT3G20540,AT3G20540.1,A0A178V7X0,
AT3G52520,AT3G52520.1,A0A178V7X1,
AT3G46000,AT3G46000.1,A0A178V7X3,
AT3G63180,AT3G63180.1,A0A178V7X4,
AT3G08860,AT3G08860.1,A0A178V7X5,R-ATH-1119610
AT3G25690,AT3G25690.1,A0A178V7X6,
AT4G15030,AT4G15030.1,A0A178V7X7,
AT3G54980,AT3G54980.2,A0A178V7X8,
AT4G11380,AT4G11380.1,A0A178V7X9,
AT3G26230,AT3G26230.1,A0A178V7Y0,
AT3G47710,AT3G47710.1,A0A178V7Y1,
AT3G03490,AT3G03490.1,A0A178V7Y2,
AT3G17700,AT3G17700.1,A0A178V7Y3,
AT3G54830,AT3G54830.2,A0A178V7Y4,
AT3G12500,AT3G12500.1,A0A178V7Y5,
AT3G22810,AT3G22810.1,A0A178V7Y6,
