Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID,Plant Reactome Reaction ID
AT1G48270,AT1G48270.2,A0A097PP41,
AT1G14140,AT1G14140.1,A0A097PP44,
AT4G38890,AT4G38890.1,A0A097PPA4,
AT3G62360,AT3G62360.2,A0A097PPH7,
AT5G64510,AT5G64510.1,A0A097PPM7,
AT1G10830,AT1G10830.1,A0A097PPU5,
AT1G55760,AT1G55760.1,A0A097PQ06,
AT4G35880,AT4G35880.1,A0A097PQ23,
AT3G10970,AT3G10970.1,A0A097PQ70,
AT1G52530,AT1G52530.2,A0A097PQA7,
AT1G79600,AT1G79600.1,A0A097PQG1,
AT2G35320,AT2G35320.1,A0A097PQL8,
AT4G23820,AT4G23820.1,A0A097PQU4,
AT1G05055,AT1G05055.1,A0A097PR03,
AT3G20020,AT3G20020.1,A0A097PR53,
AT5G08170,AT5G08170.1,A0A097PRK9,R-ATH-1119304
AT5G65860,AT5G65860.1,A0A097PRT6,
AT1G65230,AT1G65230.1,A0A097PS06,
AT3G52210,AT3G52210.1,A0A097PS22,
AT3G15180,AT3G15180.1,A0A097PS65,
AT5G66180,AT5G66180.1,A0A097PSE1,
AT2G26430,AT2G26430.4,A0A097PSJ3,
AT4G29520,AT4G29520.1,A0A097PSQ3,
AT5G51430,AT5G51430.1,A0A097PSW2,
AT2G26590,AT2G26590.2,A0A097PSZ6,
AT1G63130,AT1G63130.1,A0A098CI90,
AT1G62930,AT1G62930.1,A0A098CJN8,
AT1G62930,AT1G62930.1,A0A098CKY1,
AT1G58602,AT1G58602.2,A0A0A1GRI8,
AT2G04620,AT2G04620.1,A0A0A8IL98,
AT1G52150,AT1G52150.3,A0A0B4UKY5,
AT5G55280,AT5G55280.1,A0A0B4UL02,
AT2G36870,AT2G36870.2,A0A0B4UL26,
AT2G20190,AT2G20190.1,A0A0B4UL43,
AT4G13940,AT4G13940.2,A0A0B4ULJ4,R-ATH-1119501
AT1G19800,AT1G19800.3,A0A0B4ULM9,
AT4G34230,AT4G34230.2,A0A0B4ULR9,R-ATH-1119316
AT5G14320,AT5G14320.2,A0A0B4ULY4,
AT4G33030,AT4G33030.1,A0A0B4UMN9,
AT3G26744,AT3G26744.2,A0A0D5MF12,
AT3G26744,AT3G26744.4,A0A0D5MF12,
AT3G26744,AT3G26744.1,A0A0D5MF12,
AT4G20310,AT4G20310.4,A0A0F6SCX9,
ATCG00490,ATCG00490.1,A0A0F7C956,R-ATH-1119312
AT2G31580,AT2G31580.1,A0A0F7PX47,
AT2G31580,AT2G31580.1,A0A0F7PX50,
AT2G31580,AT2G31580.2,A0A0F7PX57,
AT2G31580,AT2G31580.2,A0A0F7PXK3,
AT2G31580,AT2G31580.1,A0A0F7PXK5,
